algo_name,done,graph,init_bots,init_locations,parameters,priority_nodes,random_string,sim_length,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
ppa_basic_0,False,cair,3,1563324327 1563324343 1563324353,100 5,1563324343 1563324327 1563324336 1154147727 1563324353 cluster_1563324333_1563324337,ppa_basic_0_100_5_82,20000,True,166.5470506515518,163.75933149954153,167.94091022755688,732.0,725.0,732.0,1.101622394568076
ppa_basic_0,False,iitb,3,667357419 1990860598 667357361,100 0,667357361 667357419 667357387 668685374 1990860598,ppa_basic_0_100_0_105,20000,True,291.1166099688162,252.7933763569964,301.2016714456109,2107.0,1446.0,2107.0,1.3921857932327606
ppa_basic_0,False,cair,3,1563324353 1563324349 1563324344,100 5,1563324353 1154147728 1563324344 1563324349 414035791 1563324336,ppa_basic_0_100_5_103,20000,True,135.16700552167003,151.03445488784456,127.2332808385828,769.0,769.0,767.0,0.923616118571966
ppa_basic_0,False,grid_5_5,4,4 2 17 22,100 0,4 17 2 22,ppa_basic_0_100_0_4,20000,True,149.38381876375277,53.19096319263853,167.70626744396498,1754.0,421.0,1754.0,3.794788609591503
ppa_basic_0,False,iitb,3,-266 668620103 3215340463,100 5,667357412 -282 3215340463 -266 668620103 667357401,ppa_basic_0_100_5_38,20000,True,344.40584004267305,251.3605457485289,375.4209381407212,2042.0,745.0,2042.0,1.794488541101339
ppa_basic_0,False,iitb,1,668620103,100 0,667357415 -222 -282 668620103 667357419,ppa_basic_0_100_0_86,20000,True,764.0569182468605,284.9146345124331,890.146992913815,7589.0,1176.0,7589.0,3.7497465415629
ppa_basic_0,False,iitb,4,1990860598 667357387 667357361 667357419,100 5,667357361 667357419 667357387 668685374 1990860598,ppa_basic_0_100_5_11,20000,True,290.7509269906343,279.30396960303966,293.763284197896,1618.0,1615.0,1618.0,1.272007862912769
ppa_basic_0,False,cair,3,1563324343 cluster_1563324333_1563324337 1563324357,100 0,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,ppa_basic_0_100_0_47,20000,True,139.1108610360886,103.9814744423327,152.62216357214854,1458.0,600.0,1458.0,1.6605209245978296
ppa_basic_0,False,iitb,2,668685374 -266,100 5,2055461156 668685374 3215340464 -266,ppa_basic_0_100_5_30,20000,True,205.3390648699102,163.34357967898396,213.7381619080954,1568.0,1126.0,1568.0,1.433782314659579
ppa_basic_0,False,iitb,1,668685374,100 0,2055461156 668685374 3215340464 -266,ppa_basic_0_100_0_96,20000,True,399.1722818562445,260.79621428213983,426.8474953710654,2102.0,1026.0,2102.0,1.7428539915771746
ppa_basic_0,False,cair,3,1563324336 cluster_1563324004_1563324334 1563324324,100 0,1563324353 1563324324 1563324336 414035791 cluster_1563324004_1563324334,ppa_basic_0_100_0_92,20000,True,140.4731112000089,68.24745474547456,168.25220983636825,1422.0,427.0,1422.0,3.125375150614224
ppa_basic_0,False,grid_5_5,1,8,100 5,8 15 1 21 2,ppa_basic_0_100_5_53,20000,True,248.89330466953305,227.21964803519649,254.3117188281172,1269.0,848.0,1269.0,1.177589403023125
ppa_basic_0,False,iitb,3,667357382 3215340463 -266,100 0,4369058864 5366445083 3215340463 667357382 -266,ppa_basic_0_100_0_7,20000,True,518.3500758371252,192.48382419120955,604.1043525860504,3585.0,736.0,3585.0,3.6506769786796833
ppa_basic_0,False,iitb,3,667357387 -266 -282,100 5,-266 4369058864 667357382 -282 667357387 667357409,ppa_basic_0_100_5_81,20000,True,237.0989080402261,146.17510548523205,267.4068422252242,1511.0,952.0,1511.0,2.4743755316868543
ppa_basic_0,False,cair,4,1563324349 1563324327 1563324011 1563324344,100 0,1563324327 cluster_1563324004_1563324334 1563324349 1563324344 1563324011,ppa_basic_0_100_0_91,20000,True,124.82053119566244,64.5481225938703,148.0022268117363,1307.0,509.0,1307.0,2.631899765155555
ppa_basic_0,False,grid_5_5,2,23 20,100 5,22 20 16 15 23 3,ppa_basic_0_100_5_9,20000,True,255.9470907090709,155.27520252025204,287.7382132950137,982.0,490.0,982.0,2.388141965974678
ppa_basic_0,False,cair,1,1563324324,100 0,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,ppa_basic_0_100_0_1,20000,True,320.1887683393608,129.6511757745446,415.45756462176894,2174.0,596.0,2174.0,3.360608277422581
ppa_basic_0,False,grid_5_5,2,15 2,100 5,8 15 1 21 2,ppa_basic_0_100_5_24,20000,True,222.5576753025908,201.91669500850253,227.71792037611283,1278.0,847.0,1278.0,1.1983431477671804
ppa_basic_0,False,iitb,4,-266 667357387 4369058864 667357409,100 0,-266 4369058864 667357382 -282 667357387 667357409,ppa_basic_0_100_0_104,20000,True,633.8852510251025,190.6163616361636,781.6415474880821,6867.0,903.0,6867.0,4.862051193083828
ppa_basic_0,False,cair,1,1154147727,100 5,1563324343 1563324327 1563324336 1154147727 1563324353 cluster_1563324333_1563324337,ppa_basic_0_100_5_83,20000,True,197.9274793250634,195.1770291449913,199.30270441509936,746.0,745.0,746.0,1.0765317012035505
ppa_basic_0,False,cair,3,1563324349 1563324324 1563324327,100 0,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,ppa_basic_0_100_0_70,20000,True,150.02155340021554,68.4714195247142,190.7966203379662,1239.0,556.0,1239.0,3.0719856951044004
ppa_basic_0,False,iitb,1,667357361,100 5,667357361 667357419 667357387 668685374 1990860598,ppa_basic_0_100_5_59,20000,True,433.1223087370228,422.4268959656053,435.9368910452906,1640.0,1640.0,1638.0,1.11710309591275
ppa_basic_0,False,iitb,2,cluster_-172_5366445082 667357401,100 0,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,ppa_basic_0_100_0_51,20000,True,358.8496921141219,215.57966703329663,406.6063671410637,4047.0,1232.0,4047.0,2.250979134255946
ppa_basic_0,False,cair,1,1563324357,100 0,1563324327 1154147726 1154147727 1563324357,ppa_basic_0_100_0_97,20000,True,241.9484283753674,125.84935240286045,275.11959293894085,1634.0,531.0,1634.0,2.419409354810666
ppa_basic_0,False,iitb,4,668620103 -266 3215340463 -282,100 5,667357412 -282 3215340463 -266 668620103 667357401,ppa_basic_0_100_5_18,20000,True,200.447529706848,156.78286085695717,215.00241932347828,1274.0,635.0,1274.0,1.7676681806979953
ppa_basic_0,False,cair,1,1563324343,100 5,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,ppa_basic_0_100_5_78,20000,True,193.00228911780064,192.80738073807385,193.0772538792341,893.0,741.0,893.0,1.111528399114319
ppa_basic_0,False,grid_5_5,4,0 2 17 12,100 0,17 2 12 0 16,ppa_basic_0_100_0_31,20000,True,173.22316231623162,67.31990199019901,199.69897739773967,2186.0,333.0,2186.0,3.333769630730001
ppa_basic_0,False,iitb,2,667357419 2055461156,100 5,667357419 667357382 4369058864 2055461156,ppa_basic_0_100_5_2,20000,True,409.17879852325945,403.2424246212311,410.3660733036652,1676.0,1430.0,1676.0,1.1001880459983706
ppa_basic_0,False,iitb,2,5882320075 cluster_-172_5366445082,100 0,5882320075 cluster_-172_5366445082 5366445083 -222,ppa_basic_0_100_0_0,20000,True,627.5474934586605,204.64218039098049,712.1285560721964,4593.0,798.0,4593.0,4.252330042969915
ppa_basic_0,False,iitb,4,cluster_-172_5366445082 667357361 -222 667357401,100 5,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,ppa_basic_0_100_5_21,20000,True,386.5694159408683,328.4672639903894,405.9367999243612,2293.0,1425.0,2293.0,1.542933439240543
ppa_basic_0,False,grid_5_5,2,15 12,100 0,24 10 4 12 2 15,ppa_basic_0_100_0_32,20000,True,179.99586620668967,119.9233954968918,198.9661201150469,1046.0,594.0,1046.0,1.7303788123184167
ppa_basic_0,False,iitb,2,5882320075 cluster_-172_5366445082,100 5,5882320075 cluster_-172_5366445082 5366445083 -222,ppa_basic_0_100_5_0,20000,True,263.85488347669536,190.41627075415084,278.5426060212043,1569.0,872.0,1569.0,2.1958512391067355
ppa_basic_0,False,grid_5_5,3,4 2 15,100 0,24 10 4 12 2 15,ppa_basic_0_100_0_71,20000,True,271.87229400000007,175.784775,302.2157210526315,1082.0,586.0,1082.0,1.7813103336981189
ppa_basic_0,False,iitb,3,1990860598 3215340463 -222,100 5,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,ppa_basic_0_100_5_52,20000,True,426.3429474359615,352.4171624752095,450.9848757562122,2292.0,1438.0,2292.0,1.5229931425517578
ppa_basic_0,False,cair,2,1563324324 1563324348,100 0,1563324348 1563324324 1154147728 1563324343,ppa_basic_0_100_0_19,20000,True,211.80004889866865,94.5108146629326,245.31125868030747,2002.0,536.0,2002.0,2.7958163450280624
ppa_basic_0,False,grid_5_5,3,11 19 7,100 5,7 15 1 19 11,ppa_basic_0_100_5_23,20000,True,173.71362631868408,136.5269036548173,183.0103069846508,1203.0,564.0,1203.0,1.5009593032740078
ppa_basic_0,False,iitb,1,667357401,100 0,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,ppa_basic_0_100_0_54,20000,True,555.6046202225448,333.7785145888594,629.5466554337731,4372.0,1258.0,4372.0,2.1535486511328004
ppa_basic_0,False,cair,4,1563324343 1154147728 1154147727 1563324357,100 5,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,ppa_basic_0_100_5_79,20000,True,118.7270393706037,128.73236323632364,114.87883788378838,844.0,706.0,844.0,1.0202260957168836
ppa_basic_0,False,grid_5_5,3,2 21 8,100 0,8 15 1 21 2,ppa_basic_0_100_0_5,20000,True,220.1662853714629,144.35440455954404,239.1192555744425,2392.0,810.0,2392.0,1.7740198739598458
ppa_basic_0,False,iitb,2,667357415 667357419,100 5,667357415 -222 -282 668620103 667357419,ppa_basic_0_100_5_20,20000,True,475.9921639240401,344.22733956884906,510.667117701722,3196.0,1593.0,3196.0,1.883652702359936
